description,DCTCP/pFabric web-search workload scaled by 1442 B as in SIRD-Simulator W5Distr
mean_header,2515857.4
size_bytes_or_units,cdf
1442.0,0.025
2884.0,0.05
4326.0,0.075
5768.0,0.1
7210.0,0.125
8652.0,0.15
10094.0,0.157143
11536.0,0.164286
12978.0,0.171429
14420.0,0.178571
15862.0,0.185714
17304.0,0.192857
18746.0,0.2
20188.0,0.216667
21630.0,0.233333
23072.0,0.25
24514.0,0.266667
25956.0,0.283333
27398.0,0.3
28840.0,0.307143
30282.0,0.314286
31724.0,0.321429
33166.0,0.328571
34608.0,0.335714
36050.0,0.342857
37492.0,0.35
38934.0,0.357143
40376.0,0.364286
41818.0,0.371429
43260.0,0.378571
44702.0,0.385714
46144.0,0.392857
47586.0,0.4
49028.0,0.4065
50470.0,0.413
51912.0,0.4195
53354.0,0.426
54796.0,0.4325
56238.0,0.439
57680.0,0.4455
59122.0,0.452
60564.0,0.4585
62006.0,0.465
63448.0,0.4715
64890.0,0.478
66332.0,0.4845
67774.0,0.491
69216.0,0.4975
70658.0,0.504
72100.0,0.5105
73542.0,0.517
74984.0,0.5235
76426.0,0.53
77868.0,0.530875
79310.0,0.53175
80752.0,0.532625
82194.0,0.5335
83636.0,0.534375
85078.0,0.53525
86520.0,0.536125
87962.0,0.537
89404.0,0.537875
90846.0,0.53875
92288.0,0.539625
93730.0,0.5405
95172.0,0.541375
96614.0,0.54225
98056.0,0.543125
99498.0,0.544
100940.0,0.544875
102382.0,0.54575
103824.0,0.546625
105266.0,0.5475
106708.0,0.548375
108150.0,0.54925
109592.0,0.550125
111034.0,0.551
112476.0,0.551875
113918.0,0.55275
115360.0,0.553625
116802.0,0.5545
118244.0,0.555375
119686.0,0.55625
121128.0,0.557125
122570.0,0.558
124012.0,0.558875
125454.0,0.55975
126896.0,0.560625
128338.0,0.5615
129780.0,0.562375
131222.0,0.56325
132664.0,0.564125
134106.0,0.565
135548.0,0.565875
136990.0,0.56675
138432.0,0.567625
139874.0,0.5685
141316.0,0.569375
142758.0,0.57025
144200.0,0.571125
145642.0,0.572
147084.0,0.572875
148526.0,0.57375
149968.0,0.574625
151410.0,0.5755
152852.0,0.576375
154294.0,0.57725
155736.0,0.578125
157178.0,0.579
158620.0,0.579875
160062.0,0.58075
161504.0,0.581625
162946.0,0.5825
164388.0,0.583375
165830.0,0.58425
167272.0,0.585125
168714.0,0.586
170156.0,0.586875
171598.0,0.58775
173040.0,0.588625
174482.0,0.5895
175924.0,0.590375
177366.0,0.59125
178808.0,0.592125
180250.0,0.593
181692.0,0.593875
183134.0,0.59475
184576.0,0.595625
186018.0,0.5965
187460.0,0.597375
188902.0,0.59825
190344.0,0.599125
191786.0,0.6
193228.0,0.600187
194670.0,0.600375
196112.0,0.600562
197554.0,0.600749
198996.0,0.600936
200438.0,0.601124
201880.0,0.601311
203322.0,0.601498
204764.0,0.601685
206206.0,0.601873
207648.0,0.60206
209090.0,0.602247
210532.0,0.602434
211974.0,0.602622
213416.0,0.602809
214858.0,0.602996
216300.0,0.603184
217742.0,0.603371
219184.0,0.603558
220626.0,0.603745
222068.0,0.603933
223510.0,0.60412
224952.0,0.604307
226394.0,0.604494
227836.0,0.604682
229278.0,0.604869
230720.0,0.605056
232162.0,0.605243
233604.0,0.605431
235046.0,0.605618
236488.0,0.605805
237930.0,0.605993
239372.0,0.60618
240814.0,0.606367
242256.0,0.606554
243698.0,0.606742
245140.0,0.606929
246582.0,0.607116
248024.0,0.607303
249466.0,0.607491
250908.0,0.607678
252350.0,0.607865
253792.0,0.608052
255234.0,0.60824
256676.0,0.608427
258118.0,0.608614
259560.0,0.608801
261002.0,0.608989
262444.0,0.609176
263886.0,0.609363
265328.0,0.609551
266770.0,0.609738
268212.0,0.609925
269654.0,0.610112
271096.0,0.6103
272538.0,0.610487
273980.0,0.610674
275422.0,0.610861
276864.0,0.611049
278306.0,0.611236
279748.0,0.611423
281190.0,0.61161
282632.0,0.611798
284074.0,0.611985
285516.0,0.612172
286958.0,0.61236
288400.0,0.612547
289842.0,0.612734
291284.0,0.612921
292726.0,0.613109
294168.0,0.613296
295610.0,0.613483
297052.0,0.61367
298494.0,0.613858
299936.0,0.614045
301378.0,0.614232
302820.0,0.614419
304262.0,0.614607
305704.0,0.614794
307146.0,0.614981
308588.0,0.615169
310030.0,0.615356
311472.0,0.615543
312914.0,0.61573
314356.0,0.615918
315798.0,0.616105
317240.0,0.616292
318682.0,0.616479
320124.0,0.616667
321566.0,0.616854
323008.0,0.617041
324450.0,0.617228
325892.0,0.617416
327334.0,0.617603
328776.0,0.61779
330218.0,0.617978
331660.0,0.618165
333102.0,0.618352
334544.0,0.618539
335986.0,0.618727
337428.0,0.618914
338870.0,0.619101
340312.0,0.619288
341754.0,0.619476
343196.0,0.619663
344638.0,0.61985
346080.0,0.620037
347522.0,0.620225
348964.0,0.620412
350406.0,0.620599
351848.0,0.620787
353290.0,0.620974
354732.0,0.621161
356174.0,0.621348
357616.0,0.621536
366268.0,0.622659
385014.0,0.625094
403760.0,0.627528
423948.0,0.63015
442694.0,0.632584
461440.0,0.635019
481628.0,0.63764
500374.0,0.640075
519120.0,0.642509
539308.0,0.645131
558054.0,0.647566
576800.0,0.65
596988.0,0.652622
615734.0,0.655056
635922.0,0.657678
654668.0,0.660112
673414.0,0.662547
693602.0,0.665169
712348.0,0.667603
731094.0,0.670037
751282.0,0.672659
770028.0,0.675094
788774.0,0.677528
808962.0,0.68015
827708.0,0.682584
846454.0,0.685019
866642.0,0.68764
885388.0,0.690075
904134.0,0.692509
924322.0,0.695131
943068.0,0.697566
961814.0,0.7
986328.0,0.702553
1010842.0,0.705105
1033914.0,0.707508
1058428.0,0.71006
1082942.0,0.712613
1106014.0,0.715015
1130528.0,0.717568
1155042.0,0.72012
1178114.0,0.722523
1202628.0,0.725075
1227142.0,0.727628
1250214.0,0.73003
1274728.0,0.732583
1299242.0,0.735135
1322314.0,0.737538
1346828.0,0.74009
1371342.0,0.742643
1394414.0,0.745045
1418928.0,0.747598
1442000.0,0.75
1466514.0,0.752553
1491028.0,0.755105
1514100.0,0.757508
1538614.0,0.76006
1563128.0,0.762613
1586200.0,0.765015
1610714.0,0.767568
1635228.0,0.77012
1658300.0,0.772523
1682814.0,0.775075
1707328.0,0.777628
1730400.0,0.78003
1754914.0,0.782583
1779428.0,0.785135
1802500.0,0.787538
1827014.0,0.79009
1851528.0,0.792643
1874600.0,0.795045
1899114.0,0.797598
1922186.0,0.8
1994286.0,0.8025
2066386.0,0.805
2138486.0,0.8075
2210586.0,0.81
2282686.0,0.8125
2354786.0,0.815
2426886.0,0.8175
2498986.0,0.82
2571086.0,0.8225
2643186.0,0.825
2715286.0,0.8275
2787386.0,0.83
2859486.0,0.8325
2931586.0,0.835
3003686.0,0.8375
3075786.0,0.84
3147886.0,0.8425
3219986.0,0.845
3292086.0,0.8475
3364186.0,0.85
3436286.0,0.8525
3508386.0,0.855
3580486.0,0.8575
3652586.0,0.86
3724686.0,0.8625
3796786.0,0.865
3868886.0,0.8675
3940986.0,0.87
4013086.0,0.8725
4085186.0,0.875
4157286.0,0.8775
4229386.0,0.88
4301486.0,0.8825
4373586.0,0.885
4445686.0,0.8875
4517786.0,0.89
4589886.0,0.8925
4661986.0,0.895
4734086.0,0.8975
4806186.0,0.9
